Iteration	objective_values	shape_gradient_norms_squared	meshquality	alphas	rel_changes	abs_changes
0	0.007000592731433395	0.0006220102062334274	6790685.19522418	2500.0	0.16729117257975498	0.0011711373669620936
1	0.005829455364471301	0.0032376793131586447	6905060.87836444	1250.0	0.08494443815486453	0.0008331585888654569
2	0.005334275553702481	0.0002542215746450728	6614919.930771686	1250.0	0.0988894219488706	0.0007312735346171444
3	0.0048067721275819614	0.0002480919394841226	6447159.25455993	1250.0	0.17882859184331265	0.0006274238426517781
4	0.003947183836515967	0.0002754185050682687	6379109.8031519735	625.0	0.14729671658151422	0.0006561663120654124
5	0.0033657766175062436	7.982176331592527e-05	6379290.121308034	1250.0	0.09876541505704904	0.0005911392782639327
6	0.0030333542927901635	0.00016431400110892603	6418580.749344911	2500.0	0.1380187581097749	0.00044416311208722494
7	0.002614694500254292	0.0003934111575409141	6467775.12498833	2500.0	0.05967756630073356	0.0003023735739022394
8	0.0024586558957995254	0.0014249403347379361	6447097.312632193	625.0	0.09453636227982862	0.00026904359385730497
9	0.0022262235112182486	0.0005012584004371128	6388899.118577097	1250.0	0.16328642878185884	0.00025066102533878934
10	0.0018627114242379238	0.0006998446323330502	6373569.262141731	625.0	0.0567321431592241	0.00023387336093417394
11	0.0017570358129970036	0.0004206856686277472	6352911.744619337	1250.0	0.15861990083099065	0.0002492961815979829
12	0.0014783349664243	0.00038354516065982507	6344706.0582304895	625.0	0.08467297002684591	0.00016985049006665995
13	0.001353159954037944	0.00028590542549920817	6333998.382689852	1250.0	0.16378217793467822	0.00020849978116305512
14	0.0011315364695078383	0.00013019652967195786	6320296.24847247	1250.0	0.1462520325280368	0.00017076266853594468
15	0.0009660469608164659	0.00016667679706719695	6292040.2743796315	625.0	0.18874961092374803	0.00018981799379946828
16	0.0007837059726395391	4.048604137474286e-05	6270703.187533121	1250.0	0.21110723156471922	0.000171092165108025
17	0.0006182599741837632	0.00021183959103224424	6235555.884768035	625.0	0.13255940298397742	0.00014324771994398368
18	0.0005363038009845148	0.0001046444479123558	6212708.994438637	625.0	0.3885969283644038	0.00015193606059211938
19	0.00032789779086318094	5.398431768278345e-05	6197413.9712005835	625.0	0.08332849762621687	0.00010589513789716503
20	0.0003005745604922681	2.622102895990542e-05	6192445.263664901	1250.0	0.13245354804724938	9.184713587154793e-05
21	0.00026076239336987107	0.00011450374492580634	6182641.785815388	625.0	0.011084157384927087	2.3341909637525316e-05
22	0.000257872061950605	6.458316334952554e-05	6177216.524894186	625.0	0.4412180041299312	5.216009849253234e-05
23	0.0001440942650146711	1.4446894914931438e-05	6173775.587839882	625.0	0.056542776665372364	4.160520608574276e-05
24	0.0001359467751126428	1.402005591799746e-05	6178231.460924108	625.0	0.20251611926672872	4.981890012103915e-05
25	0.00010841536158748756	6.644015317279204e-06	6180862.971307711	625.0	0.031176185349878375	1.3019626955328438e-05
26	0.00010503538414868578	1.0604475340579876e-05	6184825.159868357	1250.0	0.09141166995718895	1.3504283641664968e-05
