Iteration	objective_values	shape_gradient_norms_squared	meshquality	alphas	rel_changes	abs_changes
0	0.039705935178440864	2.802269858236123e-05	17588098.221296392	1000.0	0.3756995885706983	0.014917503510730748
1	0.024788431667710116	4.925933450931882e-05	18356640.305893827	1000.0	0.4045187144637499	0.012472444011464936
2	0.014761047155510994	4.467661748308737e-05	18206311.653922502	1000.0	0.2722916981648262	0.009654732873289109
3	0.010741736558573536	3.222604144553942e-05	18464615.00182131	1000.0	0.4867127123537973	0.006424944948478854
4	0.005513596822273553	6.297336615735605e-06	19807219.32819447	1000.0	0.1810854336558191	0.0034152941349944264
5	0.004515164750527715	4.87952537023863e-06	21613925.585753474	1000.0	0.047126354988981475	0.0021464516883200175
6	0.0043023814936134835	2.0391776658666452e-06	23807678.483713403	1000.0	0.8056322823925901	0.001559117583963058
7	0.0008362440703843791	1.5494406156628981e-06	26082135.84548867	1000.0	0.45272922634801127	0.0013525042705397658
8	0.000457651938908418	7.36068712906825e-07	28859637.617192637	500.0	0.1308694261394975	0.0013015407338175025
9	0.00039775929216097556	5.555467266796591e-07	30293892.7402968	1000.0	0.19914570006555252	0.00017256561037250843
10	0.00031854723926685375	5.004528866215111e-07	33365003.135236483	1000.0	0.1772259479087497	6.51865120838579e-05
11	0.00026209240265684435	4.5509412739713634e-07	36627893.97366266	1000.0	0.12726614672793737	5.634079326806698e-05
12	0.0002287369123567746	5.341680729051766e-07	40064388.67726494	1000.0	0.034667807727510325	3.258004474750533e-05
13	0.00022080710502433775	6.65003833948274e-07	43681590.05864774	500.0	0.295026306097268	3.547640082763159e-05
14	0.00015566320017394958	3.222420138676848e-07	45507954.057285346	1000.0	0.0873380955406009	2.8889679906370405e-05
15	0.0001420678726376634	3.680394144173732e-07	49354194.273047216	62.5	0.02923306245194182	2.763077046971292e-05
16	0.000137914793615199	3.480057628293585e-07	49589844.63444789	7.8125	0.002523080740785498	6.032125573637859e-06
17	0.000137566823453036	3.462235101099709e-07	49619278.3874282	15.625	0.015859636719179497	2.2276030150212263e-06
18	0.0001353850635925997	3.3972121302083604e-07	49678197.32640362	31.25	0.03534127412865552	2.438136901097362e-06
19	0.0001306003829119069	2.8155532810117817e-07	49796228.748219706	62.5	0.023378082538031218	3.3398756985734046e-06
20	0.0001275471963573158	2.752026959534211e-07	50033135.79131494	125.0	0.019879028710657668	3.457793877837975e-06
21	0.00012501168195908579	2.70655642534664e-07	50509596.204056434	250.0	0.03529672698906325	3.3337347322237685e-06
22	0.0001205991787152356	2.6222202985177493e-07	51473810.32773539	500.0	0.052508333565034704	4.42682653274578e-06
23	0.00011426671675907845	2.482492408917775e-07	53448110.21819537	500.0	0.06899298089620357	6.209522225143775e-06
24	0.00010638311528365446	2.3069913416541746e-07	55456334.33674582	500.0	0.057158992379103164	6.765605054834598e-06
25	0.00010030236355073181	2.162483803203986e-07	57496208.22109973	125.0	0.011629979154603407	5.043622539076359e-06
26	9.913584914184937e-05	2.137809966263148e-07	58002975.478799365	15.625	0.00209243144162772	2.4849003705447976e-06
27	9.892841417202007e-05	2.1280981277197e-07	58066221.147739395	15.625	0.00043186504802861003	4.7222436782713364e-07
