Iteration	objective_values	shape_gradient_norms_squared	meshquality	alphas	rel_changes	abs_changes
0	0.8423047678108363	18074.69456903368	25136255.12131203	0.1	0.1902189476235233	0.16022232651144364
1	0.6820824412993927	9806.553608931757	19095557.489219014	0.1	0.20743593153779163	0.15085536655408083
2	0.5405940347026746	4278.621040333703	16800725.909575075	0.1	0.13910732023673408	0.12563710687058463
3	0.46539344719908243	870.5690272378082	16042157.98251447	0.1	0.04482063836005006	0.07918274183080072
4	0.4445342158069905	146.69911078835847	16004214.876508538	0.1	0.014588233820936502	0.03418159599243259
5	0.4380492467253769	32.02181157401286	16109343.857181419	0.1	0.008144652440767067	0.010303986446743907
6	0.4344814878588507	10.787579942528804	16237051.058695504	0.1	0.006305904468688443	0.004264175567999203
7	0.4317416891029929	5.162521444990861	16369389.344010087	0.1	0.005524666053703269	0.002897595425381779
8	0.42935646044923154	3.0935075762445177	16503619.428858597	0.1	0.005111167421921428	0.002439846720887965
9	0.4271619476961868	2.1774605919183023	16639182.087191327	0.1	0.0048661590928237575	0.002219459800900344
10	0.42508330970029184	1.7259437021643906	16775910.703845019	0.1	0.004708929599931074	0.0020916127094762573
11	0.42308162232080276	1.4831732260745785	16913746.65474301	0.1	0.004601200111064371	0.002009002861000142
12	0.4211349391131864	1.3411459149198666	17052672.1407953	0.1	0.004523369329318239	0.0019511064847329562
