Iteration	objective_values	shape_gradient_norms_squared	meshquality	alphas	rel_changes	abs_changes
0	0.8423047678108363	18074.69456903368	25136255.12131203	0.1	0.1902189476235233	0.16022232651144364
1	0.6820824412993927	9806.553608931757	19095557.489219014	0.2	0.16391634382847167	0.13601339323950107
2	0.5702779813318342	1155.5237768359327	12050622.72140709	0.2	0.0620150834708354	0.10246420769764579
3	0.5349121447178989	353.5503466057654	11526451.219188847	0.2	0.015075186994277758	0.051744732396213765
4	0.5268482441107514	192.04731875156122	11505210.34047788	0.2	0.009040206338631328	0.01606418468566621
5	0.5220854272748355	154.01244365799187	11580802.448434182	0.2	0.007734745733046112	0.005621638491323577
6	0.5180472292439282	95.70838609659256	11683617.275691852	0.2	0.007873340693031264	0.004293259065916451
7	0.513968466913002	83.38173688516267	11819069.993970893	0.2	0.007722693662107882	0.004028727127931194
8	0.509999245891042	54.41564184568328	11965541.906280704	0.4	0.0032810744453946215	0.0032404429485843878
9	0.508325900398175	458.52081758276483	12227160.58746765	0.125	0.01167490894817807	0.003859075039329326
10	0.502391241795014	13.792638101427325	12240794.149327923	0.25	0.010080587836972583	0.004224134379159454
11	0.4973268427535636	31.087866656251315	12481509.864156382	0.5	0.008119513224583179	0.005012369840432444
12	0.4932887908768777	400.7742058543051	12879036.770990212	0.125	0.010771034446461691	0.004805227158911796
13	0.48797556031827866	19.3898845723089	12905898.862833828	0.25	0.009596633470472769	0.004678068343405876
14	0.48329263772334596	34.12711471435732	13153252.028437495	0.5	0.004487375623983107	0.0040549562517688265
15	0.48112392212157123	541.6543066790642	13552915.166403003	0.125	0.011933070668760426	0.004197641319942417
16	0.4753826363584514	26.9094268299031	13540288.457796976	0.25	0.00886348812573386	0.004041183239148871
17	0.47116908800589935	61.61340971588785	13790510.889726497	0.25	0.006588327370592228	0.0043530167714549055
18	0.4680648718072065	128.89197825378645	14004263.647708816	0.25	0.0017873143497095323	0.0027181145377408824
