Iteration	objective_values	shape_gradient_norms_squared	meshquality	alphas	rel_changes	abs_changes
0	0.007000592731450281	0.000622010203133908	6790685.19522418	2500.0	0.16729117338359867	0.0011711373725923008
1	0.0058294553588579805	0.003237679273488397	6905060.878761773	1250.0	0.08494443542904427	0.0008331585834971266
2	0.005334275564456028	0.00025422157630151584	6614919.93013806	1250.0	0.09888942315289631	0.0007312735335335965
3	0.004806772130849492	0.00024809194131836725	6447159.252857347	1250.0	0.17882859025408063	0.0006274238373399117
4	0.003947183846838245	0.00027541850796951024	6379109.800281661	625.0	0.1472967187403253	0.0006561663155563893
5	0.0033657766177868603	7.982176231975662e-05	6379290.118128976	1250.0	0.09876541485716726	0.0005911392790445565
6	0.0030333542937158223	0.00016431399907818598	6418580.746181903	2500.0	0.13801875872999556	0.000444163115889134
7	0.0026146944991708434	0.0003934111560691824	6467775.121921427	2500.0	0.05967756216461389	0.0003023735707304788
8	0.002458655905595424	0.0014249403476681867	6447097.308682244	625.0	0.09453636692148902	0.0002690435950133299
9	0.0022262235086758326	0.0005012584021187841	6388899.114058735	1250.0	0.16328642721564446	0.0002506610245244834
10	0.0018627114255973932	0.0006998446375480744	6373569.257171885	625.0	0.05673214562128002	0.0002338733653007254
11	0.0017570358096932477	0.00042068566947847804	6352911.739509723	1250.0	0.1586198995481738	0.000249296180925764
12	0.0014783349658985406	0.00038354516163786645	6344706.0527427625	625.0	0.08467297243427405	0.00016985049186655872
13	0.001353159949997717	0.00028590542370978534	6333998.377211918	1250.0	0.16378217587865723	0.00020849978026059798
14	0.0011315364689114538	0.00013019652894438331	6320296.242743467	1250.0	0.146252036809574	0.0001707626701453174
15	0.0009660469554625884	0.00016667679711972552	6292040.2687298395	625.0	0.18874960506391839	0.0001898179920135475
16	0.0007837059739570745	4.0486042356832903e-05	6270703.181616764	1250.0	0.21110723467631018	0.00017109216537562297
17	0.0006182599727845849	0.00021183959437557877	6235555.878969483	625.0	0.1325593966939849	0.00014324771726764233
18	0.0005363038036596614	0.00010464444900752435	6212708.988426508	625.0	0.3885969335427446	0.00015193606141182154
19	0.0003278977897216099	5.3984317446656456e-05	6197413.96519103	625.0	0.08332849680216822	0.00010589513768951956
20	0.0003005745597160262	2.6221028265202704e-05	6192445.257724151	1250.0	0.1324535518749214	9.184713737123903e-05
21	0.0002607623915459443	0.00011450374333552369	6182641.780054643	625.0	0.011084156911765727	2.334190981711076e-05
22	0.0002578720602702776	6.458316194953717e-05	6177216.519240767	625.0	0.4412180041526789	5.216009854871927e-05
23	0.0001440942640698684	1.444689481408794e-05	6173775.582340377	625.0	0.05654277308266716	4.1605205602811725e-05
24	0.00013594677473750913	1.402005586543333e-05	6178231.4553474495	625.0	0.20251612255389528	4.981889980961093e-05
25	0.00010841536084144482	6.644015273802347e-06	6180862.965749514	625.0	0.03117618354350636	1.3019626816042706e-05
26	0.00010503538362174028	1.0604475220431368e-05	6184825.154265513	1250.0	0.09141167606997573	1.350428389023223e-05
27	9.543392306681245e-05	3.350223413301246e-05	6188879.525292876	312.5	0.23839007141297072	1.1910645916046606e-05
28	7.2683423093305e-05	5.115468128677483e-06	6190487.1887739515	625.0	0.07276460557276421	1.254691373808752e-05
29	6.739464240747772e-05	6.8902857341562785e-06	6193227.548042823	1250.0	0.20876206895362476	1.4036241951157181e-05
30	5.33251972133409e-05	7.93877650712228e-06	6197724.790656783	625.0	0.028500636661184787	6.959342659709396e-06
31	5.180539511417681e-05	1.1048611981849528e-05	6200001.93356223	1250.0	0.19423506816484273	8.550557312948238e-06
32	4.1742970468633e-05	1.4616627245497352e-05	6202732.74730771	312.5	0.06411007587660707	4.7527906042923355e-06
33	3.9066825400463894e-05	1.3402048099210263e-05	6203844.411737394	625.0	0.06745607671635881	5.124621517482428e-06
34	3.643153056172953e-05	1.5652717457964863e-05	6205325.464907802	1250.0	0.16994648251500358	3.834283516151247e-06
35	3.024011992017926e-05	1.863295946477493e-05	6207532.744514331	2500.0	0.10518098172133308	4.0024636953469704e-06
36	2.7059434314422984e-05	2.811586683175162e-05	6212166.972324479	625.0	0.1962649671104579	4.894305143106445e-06
37	2.1748615132410194e-05	1.9278194273630034e-05	6211018.662614765	1250.0	0.12618025947051603	3.7452502714937453e-06
38	1.9004369105698025e-05	2.1272149473857424e-05	6213448.471623696	625.0	0.14028876152334854	3.5737215847948944e-06
39	1.63382695600383e-05	1.203931267352877e-05	6212502.631826735	1250.0	0.2706764097935716	3.2775766632663558e-06
40	1.1915885142611127e-05	1.1087791482852415e-05	6214884.802217343	625.0	0.02837123666922784	2.475517462987497e-06
41	1.1577816716735534e-05	5.243267859258384e-06	6214685.928169706	1250.0	0.3225995285860629	2.831817126925672e-06
42	7.842818179261284e-06	4.470616344708102e-06	6217104.862420594	312.5	0.04700356289516828	1.480569135972561e-06
43	7.474177734693444e-06	2.504622373622432e-06	6217339.230242554	625.0	0.04608287637362371	1.4826902122224451e-06
44	7.129746080068199e-06	1.3536717889741633e-06	6218216.95251389	1250.0	0.24225398281532748	8.134272419351859e-07
45	5.402536453455726e-06	1.0521235242232815e-06	6220474.153575419	2500.0	0.1221238947780927	9.1047339891275e-07
46	4.742757537955194e-06	9.200574666574495e-07	6224845.521053797	625.0	0.2457137635444896	1.1841165306855788e-06
47	3.5773964880114623e-06	1.9825757805340218e-06	6226480.977250811	1250.0	0.022560248842292515	6.352823143271982e-07
48	3.4966895104741315e-06	1.1563165264927308e-06	6229089.852678965	625.0	0.1374584935259222	5.755726124590748e-07
49	3.0160397005779696e-06	1.6701140147988293e-06	6230602.68090722	1250.0	0.06483030426892163	2.5229587457980466e-07
50	2.8205088642720482e-06	1.0052868289868603e-06	6233097.248010087	1250.0	0.002266226616589503	2.2752418690961662e-07
51	2.8141169497452817e-06	1.8936692413761806e-06	6235753.3264947515	625.0	0.1748008430060999	2.3127764692225352e-07
52	2.322206759811209e-06	7.312281738386364e-07	6236667.766887025	1250.0	0.04758557948216517	2.0293523546314543e-07
53	2.211703157882612e-06	1.1447496308212362e-06	6239028.966410238	625.0	0.13066009700092895	2.971317572229899e-07
54	1.922721678076312e-06	4.97851848024168e-07	6239911.370054133	1250.0	0.07450868844185646	1.8091487557192557e-07
55	1.7794621330954323e-06	7.247914640011277e-07	6242031.615254165	625.0	0.09439854083720584	2.000732493416637e-07
56	1.6114834098576209e-06	3.472653232908339e-07	6242885.117561984	1250.0	0.08581481803979768	1.498425032081979e-07
57	1.4731941684517184e-06	5.030039273282581e-07	6244833.889671525	625.0	0.06804443296661358	1.3550356484338861e-07
