Iteration	objective_values	shape_gradient_norms_squared	meshquality	alphas	rel_changes
0	0.019852967589220432	1.0591078121545517e-05	17588098.221296392	1000.0	0.0
1	0.013939331015777847	1.0881755341756749e-05	17855405.344112713	1000.0	0.4102456354901839
2	0.008220781304491788	2.8129296129565162e-06	17640667.64015871	1000.0	0.3981736947520358
3	0.004947482438335658	1.7998558877632242e-06	17178839.757086143	1000.0	0.14019802381945934
4	0.004253855177459321	2.5816704671044043e-06	16782305.807031088	1000.0	0.4734828288507577
5	0.0022397277940409566	2.4980871311057625e-06	16607162.484146155	500.0	0.12825222967869732
6	0.0019524777104536015	7.345939751891415e-07	16555814.248148203	1000.0	0.42151167245785326
7	0.0011294855648621121	3.00302545472787e-07	16545083.606526062	1000.0	0.2575428070127997
8	0.0008385946817495433	1.2124622868233846e-07	16664242.75038672	1000.0	0.2030473730016445
9	0.0006683202344041011	8.07153826204827e-08	16886417.23109113	1000.0	0.17163183502059667
10	0.0005536152060202981	6.573310264376456e-08	17189247.441320304	1000.0	0.1629928389439302
11	0.00046337989174552804	6.063923072324535e-08	17553108.08993659	1000.0	0.14508986137488036
12	0.00039614816734317244	5.75100524505357e-08	17961548.922088522	1000.0	0.14146484568387704
13	0.000340107127840555	5.6141831611960793e-08	18403715.030013688	1000.0	0.1367179501884848
14	0.00029360837834098343	5.478785882177133e-08	18871195.811033547	1000.0	0.1327525004443189
15	0.0002546311318320638	5.3142863495449245e-08	19357498.058001287	1000.0	0.12883881560572438
16	0.0002218247582616368	5.117721544860354e-08	19857641.15076228	1000.0	0.1247335898664938
17	0.00019415575971766207	4.895503462589877e-08	20367741.067177366	1000.0	0.12030449988653948
18	0.0001707979480244331	4.656310482184269e-08	20884724.79732744	1000.0	0.11549619693016723
19	0.00015107143446863852	4.4082680609503543e-08	21406128.47336621	1000.0	0.11029761141888253
20	0.00013440861598282584	4.158050528273908e-08	21929954.346828572	1000.0	0.10472626769110431
21	0.00012033250318069131	3.910765864249963e-08	22454568.443435267	1000.0	0.0988194164114494
22	0.0001084413153422271	3.6701291875295534e-08	22978626.399038654	1000.0	0.09181648595520545
23	9.848461474332702e-05	3.492341733659453e-08	23501018.858875934	1000.0	0.09675414474710846
24	8.89558199763338e-05	3.2122822644740627e-08	24020340.766281296	1000.0	0.08033885571764673
25	8.18092111096713e-05	3.0048219778435063e-08	24536467.131390095	1000.0	0.0758821349970877
26	7.560135343235985e-05	2.8083028744391794e-08	25048605.91244651	1000.0	0.06962999349344749
27	7.033723161513881e-05	2.6246492239060084e-08	25556280.73678084	1000.0	0.06373708192390048
28	6.585414165764727e-05	2.4532998926239532e-08	26059102.42803269	1000.0	0.05801240283436249
29	6.203378460548026e-05	2.2939185671433155e-08	26556771.86056855	1000.0	0.05256217044849967
30	5.877315419291932e-05	2.145985643369384e-08	27049064.411455497	1000.0	0.04742408542363541
31	5.598589106043373e-05	2.0089123703844183e-08	27535820.328139298	1000.0	0.04263113657654595
32	5.359914884964562e-05	1.882064058479683e-08	28016935.789246347	1000.0	0.038202285232211655
33	5.1551538838885405e-05	1.7647867499556895e-08	28492355.02915256	1000.0	0.03414533500056501
34	4.979129424129169e-05	1.6564252981108495e-08	28962063.27496452	1000.0	0.03045817510051288
35	4.8274742252351093e-05	1.5563366786121613e-08	29426080.41557367	1000.0	0.027130658717755985
36	4.696501666848426e-05	1.463899315313831e-08	29884455.32558892	1000.0	0.024146478453749592
37	4.583097688127224e-05	1.3785194047413438e-08	30337260.786260642	1000.0	0.02148495947576754
38	4.4846300178758305e-05	1.2996349427404009e-08	30784588.95508034	1000.0	0.02576346639361518
39	4.369090400546142e-05	1.2270670619426847e-08	31226547.342610903	1000.0	0.01818857848239818
40	4.289622855080258e-05	1.1595865243723358e-08	31663420.315376855	1000.0	0.016353867099727092
41	4.219470931364937e-05	1.0970308297085388e-08	32095126.438955497	1000.0	0.014588351526036415
42	4.157915804705458e-05	1.0391886705812757e-08	32521822.707688265	1000.0	0.013237254211813794
43	4.102876414883528e-05	9.855479742088116e-09	32943655.87027083	1000.0	0.01202348486884035
44	4.0535455411881055e-05	9.357749649407395e-09	33360772.3443884	1000.0	0.010990435217469684
45	4.008995310417571e-05	8.895258057392263e-09	33773316.227136	1000.0	0.010094510471533872
46	3.9685264642667796e-05	8.465002951309415e-09	34181429.023454554	1000.0	0.00932554643961647
