Iteration	objective_values	shape_gradient_norms_squared	meshquality	alphas	rel_changes	abs_changes
0	0.019852967589220432	1.1777181605439568e-05	17588098.221296392	1000.0	0.2418857251979877	0.004802149462892615
1	0.015050818126327817	1.5411836801043716e-05	17788149.90507655	1000.0	0.06464046019247972	0.0028875206364582006
2	0.01407792631630403	5.730324459844248e-06	17758197.63498006	500.0	0.21996594666813019	0.0029572352208087887
3	0.010981261926794066	6.96476423844898e-06	17675565.410388216	1000.0	0.14591034637279063	0.0018906119770095073
4	0.009378982195299295	1.703858846312974e-05	17405470.063841615	500.0	0.6535789675177262	0.0036096165404097217
5	0.0032490766950748658	2.0659977030357406e-06	17333832.861805122	1000.0	0.37162283090473425	0.002979872103780381
6	0.0020416456154529234	7.226289493591931e-07	17118444.819982436	1000.0	0.2939358294659117	0.0026458164591979683
7	0.0014415328177053907	3.2331240902523e-07	16942744.290545397	1000.0	0.24017342858533663	0.0007179205856187444
8	0.0010953149382186326	1.6199475092318717e-07	16808867.581710402	500.0	0.10530112120903237	0.00035388952280367196
9	0.0009799770470419074	1.1876175009790348e-07	16759235.749689583	500.0	0.08943491819633032	0.00018306664592979754
10	0.0008923328799159982	9.054904577684641e-08	16717218.11269795	31.25	0.008091035109931182	7.006731832395726e-05
11	0.0008851129832467608	8.539589255084109e-08	16714941.246312452	7.8125	0.0013169532641232609	3.200990540962276e-05
12	0.0008839473308130391	8.513826539385952e-08	16714378.16385702	0.48828125	0.003675475204268226	3.878158534305639e-06
