Iteration	objective_values	shape_gradient_norms_squared	alphas	rel_changes
0	0.13299866314055425	329.2616103134807	1.0	0.0
1	0.009941634165758894	10.422041330745543	1.0	0.9252501195731739
2	0.008939022542221507	6.044718149081817	1.0	0.10084978050085018
3	0.008030911296141106	2.9332603483016757	1.0	0.10158954647329137
4	0.007677020267558627	1.67365933761452	1.0	0.04406611099147115
5	0.007432698401374329	0.8026864085212553	1.0	0.03182509067807494
6	0.007319189300094471	0.46618654763014106	1.0	0.015271587132285406
7	0.00724809874965731	0.21634588416547934	1.0	0.009712899545654715
8	0.00721011008647215	0.1317884828885389	1.0	0.005241190068183682
9	0.007186130806957715	0.05733783637908414	1.0	0.003325785490584996
10	0.007171334417243042	0.03807052332408133	1.0	0.0020590203699448165
11	0.007161185330388216	0.01479678810518042	1.0	0.0014152298948724817
12	0.007153947474839835	0.011350125049953993	1.0	0.0010107063584372292
13	0.007148430768626169	0.0036472054736508526	1.0	0.0007711415595791172
